country,1988,1989,1990,1991,1992,1993,1994,1995,1996,1997,1998,1999,2000,2001,2002,2003,2004,high_tech,2006,2007,2008,2009,2010,2011
Israel,9.932590103,10.68670019,10.6533169,11.25484443,11.69739801,11.98241338,13.0221088,16.01864703,17.04319947,18.54946882,19.79187274,19.29020494,28.9739031,28.31365773,23.21339986,20.94512687,21.37219542,14.02500387,14.50621506,7.479951259,11.11546355,17.6232548,14.66321363,
Italy,7.207833055,7.243861565,7.79216176,8.197955649,8.553828263,8.579600669,8.377354972,8.130175681,7.895128437,7.614187477,8.094086137,8.283270321,9.476507205,9.564153967,9.190759209,8.025630617,8.037390502,7.980529645,7.334807392,6.264342095,6.404881289,7.468910189,7.228477131,
Jamaica,,,,0.125514547,0.126190689,0.074043055,0.049857424,0.034401306,0.046506867,0.053945508,0.079177765,0.039221165,0.058952908,0.031371354,0.146368371,0.04804378,0.124339862,0.088198999,0.113818806,0.20457003,0.431792942,0.514783513,0.570252503,
Japan,23.92880376,24.55742254,24.24049873,24.24646944,24.06979251,24.59316053,25.54593896,26.54654339,26.14833413,26.40512611,26.15222665,26.64937047,28.6886683,26.5954976,24.77556106,24.42804961,24.10432464,22.98115444,22.05695574,18.40781336,17.3143381,18.75847112,17.96281036,
Jordan,,0.213474688,1.591485564,2.813581398,1.05929498,1.553562854,7.876465435,4.33264605,,5.696243594,1.964212438,5.712856656,8.042914801,7.046562232,4.159464089,1.782067813,1.904315152,1.385657772,1.230697848,1.12756016,0.916781394,1.41337474,2.861993897,
Kazakhstan,,,,,,,,4.46463235,5.172735182,5.454911153,7.740263192,8.840901866,3.578615077,3.238614797,11.24069052,8.728163452,8.796182942,11.29115237,20.85955781,21.44792623,21.92647685,29.94278846,,
Kenya,,,4.03288515,3.031446301,1.577908589,2.353851867,3.399168474,3.585291915,4.038602355,4.430175279,4.498277546,3.278857645,3.879526519,4.93879824,10.56918344,3.598178387,3.204365705,2.899397841,3.241746809,5.509385141,4.150339903,5.310636166,5.699216154,
Kiribati,,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Dem. Rep.",,,,,,,,,,,,,,,,,,,,,,,,
"Korea, Rep.",15.94320097,17.77896373,18.03506412,19.34141797,19.7675874,20.24822702,22.65468425,26.02948933,24.06843678,26.63634319,27.07512644,32.14623669,35.0654227,29.78401659,31.52977881,32.3161911,32.91734928,32.47640858,32.14585123,30.54460905,27.59875522,28.73409455,,
